DATE,GDP
1/1/1960,542.648
4/1/1960,541.08
7/1/1960,545.604
10/1/1960,540.197
1/1/1961,545.018
4/1/1961,555.545
7/1/1961,567.664
10/1/1961,580.612
1/1/1962,594.013
4/1/1962,600.366
7/1/1962,609.027
10/1/1962,612.28
1/1/1963,621.672
4/1/1963,629.752
7/1/1963,644.444
10/1/1963,653.938
1/1/1964,669.822
4/1/1964,678.674
7/1/1964,692.031
10/1/1964,697.319
1/1/1965,717.79
4/1/1965,730.191
7/1/1965,749.323
10/1/1965,771.857
1/1/1966,795.734
4/1/1966,804.981
7/1/1966,819.638
10/1/1966,833.302
1/1/1967,844.17
4/1/1967,848.983
7/1/1967,865.233
10/1/1967,881.439
1/1/1968,909.387
4/1/1968,934.344
7/1/1968,950.825
10/1/1968,968.03
1/1/1969,993.337
4/1/1969,1009.02
7/1/1969,1029.956
10/1/1969,1038.147
1/1/1970,1051.2
4/1/1970,1067.375
7/1/1970,1086.059
10/1/1970,1088.608
1/1/1971,1135.156
4/1/1971,1156.271
7/1/1971,1177.675
10/1/1971,1190.297
1/1/1972,1230.609
4/1/1972,1266.369
7/1/1972,1290.566
10/1/1972,1328.904
1/1/1973,1377.49
4/1/1973,1413.887
7/1/1973,1433.838
10/1/1973,1476.289
1/1/1974,1491.209
4/1/1974,1530.056
7/1/1974,1560.026
10/1/1974,1599.679
1/1/1975,1616.116
4/1/1975,1651.853
7/1/1975,1709.82
10/1/1975,1761.831
1/1/1976,1820.487
4/1/1976,1852.332
7/1/1976,1886.558
10/1/1976,1934.273
1/1/1977,1988.648
4/1/1977,2055.909
7/1/1977,2118.473
10/1/1977,2164.27
1/1/1978,2202.76
4/1/1978,2331.633
7/1/1978,2395.053
10/1/1978,2476.949
1/1/1979,2526.61
4/1/1979,2591.247
7/1/1979,2667.565
10/1/1979,2723.883
1/1/1980,2789.842
4/1/1980,2797.352
7/1/1980,2856.483
10/1/1980,2985.557
1/1/1981,3124.206
4/1/1981,3162.532
7/1/1981,3260.609
10/1/1981,3280.818
1/1/1982,3274.302
4/1/1982,3331.972
7/1/1982,3366.322
10/1/1982,3402.561
1/1/1983,3473.413
4/1/1983,3578.848
7/1/1983,3689.179
10/1/1983,3794.706
1/1/1984,3908.054
4/1/1984,4009.601
7/1/1984,4084.25
10/1/1984,4148.551
1/1/1985,4230.168
4/1/1985,4294.887
7/1/1985,4386.773
10/1/1985,4444.094
1/1/1986,4507.894
4/1/1986,4545.34
7/1/1986,4607.669
10/1/1986,4657.627
1/1/1987,4722.156
4/1/1987,4806.16
7/1/1987,4884.555
10/1/1987,5007.994
1/1/1988,5073.372
4/1/1988,5190.036
7/1/1988,5282.835
10/1/1988,5399.509
1/1/1989,5511.253
4/1/1989,5612.463
7/1/1989,5695.365
10/1/1989,5747.237
1/1/1990,5872.701
4/1/1990,5960.028
7/1/1990,6015.116
10/1/1990,6004.733
1/1/1991,6035.178
4/1/1991,6126.862
7/1/1991,6205.937
10/1/1991,6264.54
1/1/1992,6363.102
4/1/1992,6470.763
7/1/1992,6566.641
10/1/1992,6680.803
1/1/1993,6729.459
4/1/1993,6808.939
7/1/1993,6882.098
10/1/1993,7013.738
1/1/1994,7115.652
4/1/1994,7246.931
7/1/1994,7331.075
10/1/1994,7455.288
1/1/1995,7522.289
4/1/1995,7580.997
7/1/1995,7683.125
10/1/1995,7772.586
1/1/1996,7868.468
4/1/1996,8032.84
7/1/1996,8131.408
10/1/1996,8259.771
1/1/1997,8362.655
4/1/1997,8518.825
7/1/1997,8662.823
10/1/1997,8765.907
1/1/1998,8866.48
4/1/1998,8969.699
7/1/1998,9121.097
10/1/1998,9293.991
1/1/1999,9411.682
4/1/1999,9526.21
7/1/1999,9686.626
10/1/1999,9900.169
1/1/2000,10002.179
4/1/2000,10247.72
7/1/2000,10318.165
10/1/2000,10435.744
1/1/2001,10470.231
4/1/2001,10599
7/1/2001,10598.02
10/1/2001,10660.465
1/1/2002,10783.5
4/1/2002,10887.46
7/1/2002,10984.04
10/1/2002,11061.433
1/1/2003,11174.129
4/1/2003,11312.766
7/1/2003,11566.669
10/1/2003,11772.234
1/1/2004,11923.447
4/1/2004,12112.815
7/1/2004,12305.307
10/1/2004,12527.214
1/1/2005,12767.286
4/1/2005,12922.656
7/1/2005,13142.642
10/1/2005,13324.204
1/1/2006,13599.16
4/1/2006,13753.424
7/1/2006,13870.188
10/1/2006,14039.56
1/1/2007,14215.651
4/1/2007,14402.082
7/1/2007,14564.117
10/1/2007,14715.058
1/1/2008,14706.538
4/1/2008,14865.701
7/1/2008,14898.999
10/1/2008,14608.209
1/1/2009,14430.902
4/1/2009,14381.236
7/1/2009,14448.882
10/1/2009,14651.249
1/1/2010,14764.61
4/1/2010,14980.193
7/1/2010,15141.607
10/1/2010,15309.474
1/1/2011,15351.448
4/1/2011,15557.539
7/1/2011,15647.68
10/1/2011,15842.259
1/1/2012,16068.805
4/1/2012,16207.115
7/1/2012,16319.541
10/1/2012,16420.419
1/1/2013,16648.189
4/1/2013,16728.687
7/1/2013,16953.838
10/1/2013,17192.019
1/1/2014,17197.738
4/1/2014,17518.508
7/1/2014,17804.228
10/1/2014,17912.079
1/1/2015,18063.529
4/1/2015,18279.784
7/1/2015,18401.626
10/1/2015,18435.137
1/1/2016,18525.933
4/1/2016,18711.702
7/1/2016,18892.639
10/1/2016,19089.379
1/1/2017,19280.084
4/1/2017,19438.643
7/1/2017,19692.595
10/1/2017,20037.088
1/1/2018,20328.553
4/1/2018,20580.912
7/1/2018,20798.73
10/1/2018,20917.867
1/1/2019,21111.6
4/1/2019,21397.938
7/1/2019,21717.171
10/1/2019,21933.217
1/1/2020,21727.657
4/1/2020,19935.444
7/1/2020,21684.551
10/1/2020,22068.767
1/1/2021,22656.793
4/1/2021,23368.861
7/1/2021,23921.991
10/1/2021,24777.038
1/1/2022,25215.491
4/1/2022,25805.791
7/1/2022,26272.011
10/1/2022,26734.277
1/1/2023,27164.359
4/1/2023,27453.815
7/1/2023,27967.697
10/1/2023,28296.967
1/1/2024,28624.069
4/1/2024,29016.714